stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon
83,1083,E. N. 110-2 - Ribeira de Frades (centro) - Sent. Coimbra,,40.205624,-8.495183
84,1084,E. N. 110-2 - Ribeira de Frades (centro) - Sent. Taveiro,,40.205639,-8.495465
85,1085,E. N. 110-2 Taveiro (centro de Saúde) - Sent. Coimbra,,40.20512,-8.497546
86,1086,E. N. 110-2 Taveiro (centro de Saúde) - Sent. Arzila,,40.204747,-8.498269
87,1087,E. N. 341 - Alto da Ribeira - Sent. Arzila,,40.201674,-8.497199
88,1088,E. N. 341 - Alto da Ribeira - Sent.coimbra,,40.201486,-8.496894
89,1089,E. N. 341 - Ribeira de Frades - Sent. Arzila,,40.202113,-8.493739
90,1090,E. N. 341 - Ribeira de Frades - Sent. Coimbra,,40.20181,-8.493287
91,1091,E. N. 110-2 (cruz.dos Casais) - Sent. Taveiro,,40.204667,-8.48652
92,1092,E. M. 539 - Cruz. do Vale Velho - Sent. Lordemão,,40.241004,-8.404862
93,1093,E. N. 110-2 - Outeiro da Ribeira 1 - Sent. Casais,,40.196468,-8.486497
94,1094,E. N. 110-2 - Outeiro da Ribeira 1 - Sent. Valongo,,40.196808,-8.486717
95,1095,E. N. 110-2 - Moinho do Calhau (norte) - Sent. Casais,,40.188234,-8.487578
96,1096,E. N. 110-2 - Moinho do Calhau (norte) - Sent. Valongo,,40.187784,-8.487673
97,1097,E. N. 110-2 - Moinho do Calhau - Sent. Casais,,40.183788,-8.487018
98,1098,E. N. 110-2 - Entre Tremoçais (valongo) - Sent. Casais,,40.178894,-8.487195
99,1099,E. N. 110-2 - Moinho do Calhau - Sent. Valongo,,40.183584,-8.487081
100,1100,E. N. 110-2 - Entre Tremoçais (valongo) - Sent. Valongo,,40.178711,-8.487259
101,1101,Vil de Matos - Escola - (sul) - Sent. Pisão,,40.279595,-8.483705
102,1102,Vil de Matos - Escola - (sul) - Sent. Adémia,,40.27979,-8.483946
103,1103,Rios Frios - Eira Velha - Sent. Vil de Matos,,40.275241,-8.475301
104,1104,Rios Frios - Eira Velha - Sent. Adémia,,40.274933,-8.474856
105,1105,Vendas de Santana - Viaduto - Sent. Vil de Matos,,40.277079,-8.478887
106,1106,Vendas de Santana - Viaduto - Sent. Adémia,,40.27686,-8.478665
107,1107,Vendas de Santana - Cruzamento - Sent. Vil de Matos,,40.277574,-8.482489
108,1108,Vendas de Santana - Cruzamento - Sent. Adémia,,40.277307,-8.482147
109,1109,Vendas de Santana - Cruzamento - Sent. Mourelos,,40.277189,-8.482428
110,1110,E. N. 11o-2 (corujeira) - Sent. Coimbra,,40.207644,-8.476123
111,1111,E. N. 110-2 (corujeira) - Sent. Taveiro,,40.207667,-8.476448
112,1112,E. N. 110-2 - Casais (esc. Primária) - Sent. Taveiro,,40.205606,-8.482333
113,1113,E. N. 110-2 - Casais (cruz. Casas Novas ) - Sent. Taveiro,,40.206459,-8.480519
114,1114,Casais (cemitério da Ribeira) - Sent. Coimbra,,40.203816,-8.485786
115,1115,E. N. 110-2 - Casais (apeadeiro) - Sent. Coimbra,,40.204609,-8.484984
116,1116,E. N. 110-2 - (esc. Primária) - Sent. Coimbra,,40.205312,-8.482719
117,1117,E. N. 110-2 - Casais (cruz. Casas Novas ) - Sent. Coimbra,,40.206606,-8.479714
118,1118,Av. de Conimbriga (smtuc) - Sent. Coimbra,,40.210202,-8.437216
119,1119,E. N. 110-2 - Outeiro dos Casais (sul)  - Sent. Casais,,40.199366,-8.486114
120,1120,E. N. 110-2 - Outeiro dos Casais (sul) - Sent. Valongo,,40.199243,-8.486345
121,1121,C. M. 1075 - Debaixo do Viaduto Via Rápida - Dir. Coalhadas,,40.203074,-8.478431
122,1122,Rua 25 de Abril - Casais - Sent. Coalhadas,,40.203135,-8.482168
123,1123,C. M. 1075 - Casa Novas - Dir. Coalhadas,,40.201628,-8.477932
124,1124,"Guarda Inglesa, Av. - Escola 2,3 Silva Gaio - Sent. Portagem",,40.207873,-8.436843
125,1125,Outeiro dos Casais (centro) - Sent. Coimbra,,40.200261,-8.483358
126,1126,C. M. 1075 - Casa Novas (cruzamento p/ Estremão) - Sent. Coalhadas,,40.200089,-8.477342
127,1127,Urbanização de S. Bento - Sent. Coimbra,,40.199481,-8.484845
128,1128,Estremão (centro),,40.199934,-8.478606
129,1129,E. N. 110-2 - Outeiro dos Casais (viaduto) - Sent. Valongo,,40.200847,-8.485348
130,1130,Rua das Cerejeiras - Casais - Sent. Coalhadas,,40.203588,-8.483832
131,1131,E. N. 110-2 - Outeiro dos Casais (viaduto) - Sent. Casais,,40.20159,-8.485254
132,1132,C. M. 1075 - Coalhadas (cruz. p/ Casal da Bemposta) -sent. Bemposta,,40.198266,-8.476749
133,1133,Rua Casal da Bemposta (fontenário),,40.197495,-8.478646
134,1134,Rua Casal da Bemposta (casal da Bemposta),,40.196071,-8.480997
135,1135,Rua Casal dos Ratos,,40.197362,-8.482326
136,1136,Rua Casal dos Ratos(casal dos Ratos),,40.198812,-8.482652
137,1137,Valongo (centro) Sent. - Esp. Santos das Touregas,,40.174172,-8.481974
138,1138,R. Dr. Mendes Silva - Valongo (cruz. c/ E. N. 110-2) - sent. asc.,,40.175967,-8.484066
139,1139,E. N. 110-2 - Valongo (norte),,40.176116,-8.485175
140,1140,Rua Dr. Mendes Silva - Sent. Valongo,,40.176875,-8.478425
141,1141,Rua Dr. Mendes Silva - Sent. Esp. Santo,,40.176553,-8.478652
142,1142,Rios Frios - Cartacho - Sent. Vil de Matos,,40.271744,-8.467389
