Inq	Pessoas	P_menos10anos	P_10a14anos	P_15a18anos	P_mais18anos	Alunos - viajam acompanhados ou sozinhos	Alunos - modo de transporte	Automoveis	Motas	Desp_auto	Est_privado	Lug_Dispõe	Lug_Utiliza	Alug_estac	CartaCond	Inq_idade	Inq_sexo	Pess_Emprego	Pess_carta	Inq_Instrucao	Inq_profissão	Trab_conta	Princ_cont	PrincCont_Idade	PrincCont_Sexo	PrincCont_NivInst	PrincCont_Profissão	PrincCont_Conta PO	Rendimento	STATUS SOCIAL	Coord_X	Coord_Y	GrauGeoreferenciacao	Tipo	Zona	Concelho	Tipo_Inq	Coef_Exp	SumViagens	Polo Universitário	Ramal da Lousã	Auxiliar	Inquéritos Válidos FINAIS
47	5	0	0	0	5	0	0	3	98	98	2	2	2	0	2	38	2	3	3	5	15		2	45	1	5	12	1	99	D	188 693	357 086	4	R	29	Lousã	2	21.3	0			2 | 2	1
48	2	0	0	0	2	0	0	1	98	98	2	1	1	0	3	73	2	98	1	7	10	0	1				10		1	D	200 220	371 442	2	R	113	Penacova	2	31.8	3			4 | 2	1
49	3	0	0	1	2	0	0	1	1	98	2	2	1	0	2	41	2	2	2	6	4	1	1				4		99	C	175 493	347 677	4	R	114	Condeixa-a-Nova	2	46.6	2			2 | 2	1
50	3	0	0	0	3	0	0	1	98	98	2	1	1	0	3	60	2	3	2	6	15	0	2	64	1	6	14	2	1	E	197 084	372 376	4	R	113	Penacova	2	23.3	0			3 | 2	1
51	4	0	1	1	2	2	3	2	98	98	2	2	2	0	2	45	1	2	2	2	7	2	1				7		99	B	198 961	370 715	4	R	113	Penacova	2	28.6	3			3 | 1	1
52	3	0	0	0	3	0	0	2	98	98	2	2	2	0	3	52	2	3	2	4	9	2	2	53	1	4	7	2	4	C	193 052	367 037	2	R	113	Penacova	2	23.3	2			3 | 2	1
53	1	0	0	0	1	0	0	1	98	98	1			1	2	84	1	1	1	6	10		1				10		99	D	188 285	353 568	4	R	29	Lousã	2	30.0	2			4 | 1	1
54	4	0	0	0	4	0	0	1	1	98	2	1	1	0	3	52	2	2	1	6	15	0	2	30	1	5	14	2	2	E	191 060	371 614	4	R	113	Penacova	2	23.3	1			3 | 2	1
55	2	0	0	0	2	0	0	1	98	98	2	1	1	0	2	62	1	98	2	6	10	0	1				10		1	D	167 915	386 411	4	R	108	Anadia	2	46.1	0			3 | 1	1
56	4	0	0	0	4	0	0	4	98	3	2	2	2	0	2	29	2	2	2	1	13	0	2	53	1	6	6	1	2	C	165 746	354 772	4	R	39	Condeixa-a-Nova	2	30.4	3			2 | 2	1
57	2	0	0	0	2	0	0	1	98	98	2	1	1	0	2	65	1	98	1	6	10	0	1				10		1	D	179 424	392 495	4	R	109	Anadia	2	73.6	0			4 | 1	1
58	2	0	0	0	2	0	0	98	98	98	2	1	98	0	3	69	2	98	98	99	10	0	1				10		1	99	164 868	387 079	4	R	108	Anadia	2	34.2	0			4 | 2	1
