Inq	Viagem	P1-Iniciou a viagem em casa	Origem_X	Origem_Y	Origem_Georef	Origem_Tipo	Origem_Zona	Origem_Conc	P3-Motivo da viagem	P4-Viagem terminou em casa	Destino_X	Destino_Y	Destino_Georef	Destino_Tipo	Destino_Zona	Destino_Conc	Hora de Inicio	Hora de Fim	Duração	P6-Mudou alguma vez de modo de transporte	P6_Vezes que mudou de modo de transporte	P9-Modo de transporte utilizado para chegar ao destino	Modo de transporte agregado	P10-Local de estacionamento	P11_a-Preço pago pelo estacionamento (base diária)	P11_b-Preço pago pelo estacionamento (base mensal)	P12-Automóvel disponível	P13_a-Primeira Razão da escolha do modo a pé / TC	P13_b-segunda Razão da escolha do modo a pé / TC	P.14-Título de transporte	P.14a-Tipo de passe	Classifica Companhia	P15_a-Fez a viagem sempre acompanhado	P15_b-Fez algum desvio ao seu percurso por ir acompanhado	P15_c_Frequencia_Viagem	Tipo de inquérito	Zona_Residencia	Coeficientes Expansão Total	Hora de Inicio	Hora de Fim	Duração	Distancia	Viagens	Velocidades
43	2	2	172247.42	358647.27	3	U	326	Coimbra	3	1	164379.92	349996.56	4	R	42	Condeixa-a-Nova	18:00	18:30	00:30	1	0	4	TI	5								4	1	2	1	2	42	25.3	1 080	1 110	30	12	2	23.39
44	1	1	190127.04	353675.01	2	U	29	Lousã	10	2	190360.07	349115.45	3	U	32	Lousã	11:30	11:40	0:10	1	0	2	TI	1								1			1	2	29	33.9	690	700	10	5	3	27.39
44	2	2	190360.07	349115.45	3	U	32	Lousã	10	2	175491.37	373955.17	3	R	21	Mealhada	21:00	21:50	0:50	1	0	3	TI	1								1			3	2	29	33.9	1 260	1 310	50	29	3	34.74
44	3	2	175491.37	373955.17	3	R	21	Mealhada	3	1	190127.04	353675.01	2	U	29	Lousã	22:00	22:50	0:50	1	0	3	TI	5								1			3	2	29	33.9	1 320	1 370	50	25	3	30.01
46	1	1	165319.95	356061.48	4	R	39	Condeixa-a-Nova	1	2	166602.89	351215.92	3	U	39	Condeixa-a-Nova	08:15	8:25	00:10	1	0	3	TI	1								1			1	2	39	52.2	495	505	10	5	3	30.08
46	2	2	166602.89	351215.92	3	U	39	Condeixa-a-Nova	4	2	173561.55	360431.34	3	U	307	Coimbra	17:30	17:45	00:15	1	0	3	TI	5								1			3	2	39	52.2	1 050	1 065	15	12	3	46.19
46	3	2	173561.55	360431.34	3	U	307	Coimbra	3	1	165319.95	356061.48	4	R	39	Condeixa-a-Nova	19:30	19:45	00:15	1	0	3	TI	5								4	1	2	3	2	39	52.2	1 170	1 185	15	9	3	37.31
48	1	1	200220.4	371442.3	2	R	113	Penacova	10	2	200511.34	371390.84	4	R	113	Penacova	14:00	14:10	0:10	1	0	1	Pé				1	7	8			1			1	2	113	30.3	840	850	10	0	3	1.77
48	2	2	200511.34	371390.84	4	R	113	Penacova	4	2	200511.34	371390.84	4	R	113	Penacova	16:00	16:15	00:15	1	0	1	Pé				2					1			3	2	113	30.3	960	975	15	0	3	0
48	3	2	200511.34	371390.84	4	R	113	Penacova	3	1	200220.4	371442.3	2	R	113	Penacova	16:30	16:55	00:25	1	0	1	Pé				2					1			3	2	113	30.3	990	1 015	25	0	3	0.71
49	1	1	175493.47	347677.37	4	R	114	Condeixa-a-Nova	1	2	175459.92	347858.52	3	R	114	Condeixa-a-Nova	9:00	9:05	00:05	1	0	1	Pé				1	7	8			1			1	2	114	46.6	540	545	5	0	2	2.21
49	2	2	175459.92	347858.52	3	R	114	Condeixa-a-Nova	3	1	175493.47	347677.37	4	R	114	Condeixa-a-Nova	18:00	18:05	00:05	1	0	1	Pé				1	7	8			1			1	2	114	46.6	1 080	1 085	5	0	2	2.21
51	1	1	198961.33	370715.05	4	R	113	Penacova	11	2	167825.27	358839.15	3	U	347	Coimbra	08:00	8:35	0:35	1	0	3	TI	5								1			2	2	113	28.6	480	515	35	33	3	57.13
51	2	2	167825.27	358839.15	3	U	347	Coimbra	11	2	233802.4	461432.56	4	U	226	Armamar	14:00	15:30	01:30	1	0	3	TI	5								1			3	2	113	28.6	840	930	90	122	3	81.32
51	3	2	233802.4	461432.56	4	U	226	Armamar	3	1	198961.33	370715.05	4	R	113	Penacova	19:00	20:00	01:00	1	0	3	TI	5								1			2	2	113	28.6	1 140	1 200	60	97	3	97.18
52	1	1	193051.6	367037.4	2	R	113	Penacova	10	2	197213.57	370081.67	3	R	113	Penacova	17:00	17:15	00:15	1	0	4	TI	3								4	1	2	3	2	113	23.3	1 020	1 035	15	5	2	20.63
52	2	2	197213.57	370081.67	3	R	113	Penacova	3	1	193051.6	367037.4	2	R	113	Penacova	19:00	19:15	00:15	1	0	4	TI	5								4	1	2	3	2	113	23.3	1 140	1 155	15	5	2	20.63
53	1	1	188285.17	353567.95	4	R	29	Lousã	6	2	190318.6	349544.44	4	U	32	Lousã	16:00	16:10	0:10	1	0	3	TI	1								1			1	2	29	30	960	970	10	5	2	27.05
53	2	2	190318.6	349544.44	4	U	32	Lousã	3	1	188285.17	353567.95	4	R	29	Lousã	18:00	18:10	0:10	1	0	3	TI	5								1			1	2	29	30	1 080	1 090	10	5	2	27.05
54	1	1	191060.32	371614.41	4	R	113	Penacova	15	1	191060.32	371614.41	4	R	113	Penacova	10:00	12:00	02:00	1	0	1	Pé				2					1			1	2	113	23.3	600	720	120	0	1	0
56	1	1	165745.7	354772.41	4	R	39	Condeixa-a-Nova	9	2	176223.45	361388.84	3	U	312	Coimbra	08:00	8:20	00:20	1	0	3	TI	5								1			3	2	39	30.4	480	500	20	12	3	37.18
56	2	2	176223.45	361388.84	3	U	312	Coimbra	4	2	173561.55	360431.34	3	U	307	Coimbra	11:30	11:40	00:10	1	0	3	TI	5								1			3	2	39	30.4	690	700	10	3	3	16.97
56	3	2	173561.55	360431.34	3	U	307	Coimbra	3	1	165745.7	354772.41	4	R	39	Condeixa-a-Nova	13:30	13:45	00:15	1	0	3	TI	5								1			1	2	39	30.4	810	825	15	10	3	38.6
59	1	1	171424.94	391147.7	4	R	10	Anadia	4	2	171337.77	391033.89	3	R	10	Anadia	16:00	16:10	00:10	1	0	1	Pé				2					1			1	2	10	53.1	960	970	10	0	4	0.86
59	2	2	171337.77	391033.89	3	R	10	Anadia	3	1	171424.94	391147.7	4	R	10	Anadia	16:30	16:40	00:10	1	0	1	Pé				2					1			1	2	10	53.1	990	1 000	10	0	4	0.86
59	3	1	171424.94	391147.7	4	R	10	Anadia	10	2	166896.82	399988.67	3	U	228	Águeda	17:45	18:00	00:15	1	0	4	TI	1								4	1	2	3	2	10	53.1	1 065	1 080	15	10	4	39.73
59	4	2	166896.82	399988.67	3	U	228	Águeda	3	1	171424.94	391147.7	4	R	10	Anadia	18:30	18:45	00:15	1	0	4	TI	5								4	1	2	3	2	10	53.1	1 110	1 125	15	10	4	39.73
61	1	1	227436.45	380516.41	4	R	203	Oliveira do Hospital	1	2	223779.31	375797.91	3	U	203	Oliveira do Hospital	14:00	14:30	0:30	1	0	3	TI	3								1			1	2	203	58.9	840	870	30	6	2	11.94
61	2	2	223779.31	375797.91	3	U	203	Oliveira do Hospital	3	1	227436.45	380516.41	4	R	203	Oliveira do Hospital	21:00	21:30	0:30	1	0	3	TI	1								1			1	2	203	58.9	1 260	1 290	30	6	2	11.94
62	1	1	167914.56	386411.05	4	R	108	Anadia	1	2	171535.31	389168.91	2	R	10	Anadia	09:00	9:30	00:30	1	0	19	Bicicleta				2					1			2	2	108	44.5	540	570	30	5	4	9.1
62	2	2	171535.31	389168.91	2	R	10	Anadia	3	1	167914.56	386411.05	4	R	108	Anadia	12:00	12:30	00:30	1	0	19	Bicicleta				2					1			3	2	108	44.5	720	750	30	5	4	9.1
62	3	1	167914.56	386411.05	4	R	108	Anadia	1	2	171535.31	389168.91	2	R	10	Anadia	14:00	14:30	00:30	1	0	19	Bicicleta				2					1			2	2	108	44.5	840	870	30	5	4	9.1
62	4	2	171535.31	389168.91	2	R	10	Anadia	3	1	167914.56	386411.05	4	R	108	Anadia	19:00	19:30	00:30	1	0	19	Bicicleta				2					1			2	2	108	44.5	1 140	1 170	30	5	4	9.1
65	1	1	162930.09	384116.27	4	R	107	Anadia	4	2	157831.65	407138.13	3	U	228	Aveiro	14:10	14:40	00:30	1	0	3	TI	5								1			2	2	107	76	850	880	30	24	3	47.16
65	2	2	157831.65	407138.13	3	U	228	Aveiro	4	2	158642.14	409250.93	3	U	228	Aveiro	15:30	15:40	00:10	1	0	3	TI	5								1			3	2	107	76	930	940	10	2	3	13.58
65	3	2	158642.14	409250.93	3	U	228	Aveiro	3	1	162930.09	384116.27	4	R	107	Anadia	17:00	17:20	00:20	1	0	3	TI	5								1			2	2	107	76	1 020	1 040	20	25	3	76.49
66	1	1	172224.0467	359890.4185	2	U	328	Coimbra	1	2	176549.22	358405.66	3	U	320	Coimbra	09:00	10:00	01:00	2	1	12	TC				2			2		1			2	1	328	10.4	540	600	60	5	2	4.57
66	2	2	176549.22	358405.66	3	U	320	Coimbra	3	1	172224.0467	359890.4185	2	U	328	Coimbra	18:15	19:00	00:45	2	1	12	TC				2			2		4	1	2	3	1	328	10.4	1 095	1 140	45	5	2	6.1
67	1	1	171424.94	391147.7	4	R	10	Anadia	4	2	171424.94	391147.7	4	R	10	Anadia	9:30	9:40	00:10	1	0	1	Pé				1	7	8			1			1	2	10	26.6	570	580	10	0	2	0
67	2	2	171424.94	391147.7	4	R	10	Anadia	3	1	171424.94	391147.7	4	R	10	Anadia	10:00	10:10	00:10	1	0	1	Pé				1	7	8			1			1	2	10	26.6	600	610	10	0	2	0
68	1	1	197084.12	372375.77	4	R	113	Penacova	1	2	197084.12	372375.77	4	R	113	Penacova	10:00	10:10	00:10	1	0	1	Pé				2					1			2	2	113	30.3	600	610	10	0	2	0
68	2	2	197084.12	372375.77	4	R	113	Penacova	3	1	197084.12	372375.77	4	R	113	Penacova	16:00	16:10	00:10	1	0	1	Pé				2					1			3	2	113	30.3	960	970	10	0	2	0
