9004	U	228	Águeda	8:30	9:05	0:35	1	0	3	TI	3	0	0						1			1	2	21	37.8	510	545	35	27	2	45.88
77	3	2	161468.01	375760.75	3	U	6	Cantanhede	3	1	167299.35	387062.55	2	U	108	Anadia	19:30	20:00	0:30	1	0	3	TI	5								3	1	2	3	2	108	31.3	1 170	1 200	30	13	3	25.44
348	2	2	173616.05	400925.6	4	U	228	Águeda	3	1	175632.05	383729.04	4	R	109	Anadia	16:30	17:00	0:30	1	0	21	Outros				2					4	1	99	3	2	109	44.6	990	1 020	30	17	2	34.63
1891	3	2	173537.19	400627.93	3	U	228	Águeda	3	1	171408.1	391418.48	2	R	10	Anadia	16:00	16:25	0:25	1	0	3	TI	5								1			3	2	10	49.8	960	985	25	9	3	22.69
2497	2	2	173346.66	400513.28	4	U	228	Águeda	3	1	173252.83	387491.37	4	R	12	Anadia	11:00	12:00	1:00	1	0	21	Outros				1	3	6			4		2	1	2	12	36.8	660	720	60	13	2	13.02
117	1	1	162827.45	383040.74	4	R	107	Anadia	9	2	174600.61	389063.54	3	U	109	Anadia	9:30	9:40	0:10	1	0	3	TI	3								1			3	2	107	52	570	580	10	13	5	79.35
117	2	2	174600.61	389063.54	3	U	109	Anadia	5	2	172263.68	384750.52	3	R	108	Anadia	10:15	10:20	0:05	1	0	3	TI	5								1			3	2	107	52	615	620	5	5	5	58.87
117	3	2	172263.68	384750.52	3	R	108	Anadia	3	1	162827.45	383040.74	4	R	107	Anadia	11:30	11:40	0:10	1	0	3	TI	5								1			2	2	107	52	690	700	10	10	5	57.54
128	2	2	172247.42	358647.27	3	U	326	Coimbra	3	1	163287.35	386563.77	4	R	107	Anadia	16:00	16:45	0:45	1	0	4	TI	5								4	99	99	3	2	107	52	960	1 005	45	29	2	39.09
134	2	2	176223.45	361388.84	3	U	312	Coimbra	3	1	176749.9	389373.3	2	R	109	Anadia	9:00	9:40	0:40	1	0	3	TI	5								1			1	2	109	51	540	580	40	28	2	41.98
141	1	1	167991.74	386701.02	2	U	108	Anadia	10	2	162827.45	383040.74	4	R	107	Anadia	10:00	10:05	0:05	1	0	3	TI	5								1			3	2	108	46.1	600	605	5	6	2	75.96
141	2	2	162827.45	383040.74	4	R	107	Anadia	3	1	167991.74	386701.02	2	U	108	Anadia	10:30	10:35	0:05	1	0	3	TI	5								1			3	2	108	46.1	630	635	5	6	2	75.96
147	1	1	164872.74	385877.38	4	R	107	Anadia	1	2	167245.42	383960.08	4	R	107	Anadia	9:30	9:45	0:15	1	0	19	Bicicleta				1	13	99			4	1	2	2	2	107	27.8	570	585	15	3	4	12.2
147	2	2	167245.42	383960.08	4	R	107	Anadia	3	1	164872.74	385877.38	4	R	107	Anadia	12:15	12:30	0:15	1	0	19	Bicicleta				1	13	99			4	1	2	3	2	107	27.8	735	750	15	3	4	12.2
147	3	1	164872.74	385877.38	4	R	107	Anadia	1	2	167245.42	383960.08	4	R	107	Anadia	14:00	14:15	0:15	1	0	19	Bicicleta				1	13	99			4	1	2	2	2	107	27.8	840	855	15	3	4	12.2
147	4	2	167245.42	383960.08	4	R	107	Anadia	3	1	164872.74	385877.38	4	R	107	Anadia	18:30	18:45	0:15	1	0	19	Bicicleta				1	13	99			4	1	2	2	2	107	27.8	1 110	1 125	15	3	4	12.2
153	3	2	161674.64	375566.08	3	U	6	Cantanhede	3	1	163000.99	385027.13	4	R	107	Anadia	17:00	17:15	0:15	1	0	3	TI	5								4	1	2	2	2	107	39.2	1 020	1 035	15	10	3	38.21
156	1	1	176175.6	385798.28	2	R	109	Anadia	1	2	177705.89	386555.55	4	R	109	Anadia	16:30	17:00	0:30	1	0	1	Pé				1	3	99			1			3	2	109	36.7	990	1 020	30	2	2	3.41
156	2	2	177705.89	386555.55	4	R	109	Anadia	3	1	176175.6	385798.28	2	R	109	Anadia	18:30	18:45	0:15	1	0	1	Pé				1	3	99			1			3	2	109	36.7	1 110	1 125	15	2	2	6.83
5609	3	2	166888.7	399950.47	4	U	228	Águeda	3	1	171424.94	391147.7	4	R	10	Anadia	22:00	22:30	0:30	1	0	5	Transporte Empresa/Escola	5	0	0						4		1	2	2	10	48.6	1 320	1 350	30	10	3	19.81
184	2	2	176419.99	359382.42	3	U	315	Coimbra	3	1	177773.9	384279.5	2	R	109	Anadia	21:40	22:30	0:50	1	0	3	TI	5								4	99	99	3	2	109	54	1 300	1 350	50	25	2	29.92
8808	2	2	173649.04	400561.93	3	U	228	Águeda	3	1	174107.95	386831.93	2	R	12	Anadia	11:50	12:20	0:30	1	0	15	TC		0	0	2			3		3		2	1	2	12	58.9	710	740	30	14	2	27.48
242	1	1	176749.9	389373.3	2	R	109	Anadia	6	2	172552.27	384025.33	3	R	14	Anadia	11:30	12:10	0:40	1	0	2	TI	5								1			3	2	109	84.1	690	730	40	7	2	10.2
242	2	2	172552.27	384025.33	3	R	14	Anadia	3	1	176749.9	389373.3	2	R	109	Anadia	13:15	14:00	0:45	1	0	2	TI	5								1			3	2	109	84.1	795	840	45	7	2	9.06
248	1	1	175624.79	383838.67	2	R	109	Anadia	1	2	173917.25	384364.04	3	U	14	Anadia	7:50	8:00	0:10	1	0	3	TI	3								1			1	2	109	71.9	470	480	10	2	2	10.72
248	2	2	173917.25	384364.04	3	U	14	Anadia	3	1	175624.79	383838.67	2	R	109	Anadia	17:00	17:10	0:10	1	0	3	TI	5								1			1	2	109	71.9	1 020	1 030	10	2	2	10.72
10548	2	2	173026.31	397377.96	4	U	228	Águeda	3	1	171787.57	387492.14	2	R	12	Anadia	12:00	13:00	1:00	1	0	4	TI		0	0						4		2	1	2	12	36.8	720	780	60	10	2	9.96
10907	2	2	173850.57	400687.76	2	U	228	Águeda	3	1	173176.34	390378.56	1	R	10	Anadia	18:00	18:40	0:40	1	0	4	TI		0	0						4		2	1	2	10	45.7	1 080	1 120	40	10	2	15.5
283	1	1	177605.13	382183.31	4	R	109	Anadia	10	2	174139	381909.27	2	R	109	Anadia	17:30	18:00	0:30	1	0	4	TI	5								4	1	2	3	2	109	44.6	1 050	1 080	30	3	2	6.95
283	2	2	174139	381909.27	2	R	109	Anadia	3	1	177605.13	382183.31	4	R	109	Anadia	19:00	19:30	0:30	1	0	4	TI	5								4	1	2	3	2	109	44.6	1 140	1 170	30	3	2	6.95
290	1	1	171754.8	390614.17	1	R	10	Anadia	9	2	171032.43	390843.22	3	R	10	Anadia	10:00	10:10	0:10	1	0	19	Bicicleta				1	7	3			1			3	2	10	35.3	600	610	10	1	2	4.55
290	2	2	171032.43	390843.22	3	R	10	Anadia	3	1	171754.8	390614.17	1	R	10	Anadia	10:45	11:00	0:15	1	0	19	Bicicleta				1	7	3			1			3	2	10	35.3	645	660	15	1	2	3.03
293	2	2	176223.45	361388.84	3	U	312	Coimbra	3	1	164868.39	387078.55	4	R	108	Anadia	13:15	14:10	0:55	1	0	3	TI	5								1			1	2	108	46.1	795	850	55	28	2	30.64
297	1	1	175627.8	390235.6	2	R	109	Anadia	1	2	176549.85	389553.33	4	R	109	Anadia	8:00	8:06	0:06	1	0	3	TI	5								1			1	2	109	44.6	480	486	6	1	2	11.47
297	2	2	176549.85	389553.33	4	R	109	Anadia	3	1	175627.8	390235.6	2	R	109	Anadia	16:10	16:16	0:06	1	0	3	TI	5								1			1	2	109	44.6	970	976	6	1	2	11.47
300	1	1	175912.4	390599.9	2	R	109	Anadia	1	2	171936.6	389781.19	3	R	10	Anadia	15:00	15:15	0:15	1	0	21	Outros	99			2					1			1	2	109	44.6	900	915	15	4	2	16.24
300	2	2	171936.6	389781.19	3	R	10	Anadia	3	1	175912.4	390599.9	2	R	109	Anadia	18:00	18:15	0:15	1	0	21	Outros									1			1	2	109	44.6	1 080	1 095	15	4	2	16.24
306	1	1	177283.12	382437.06	2	R	109	Anadia	4	2	174421.26	385628.75	3	U	12	Anadia	10:00	10:10	0:10	1	0	4	TI	1								4	1	2	3	2	109	44.6	600	610	10	4	2	25.72
