"route_id","trip_id","service_id"
"14T","1096","Dias Úteis"
"14T","1095","Dias Úteis"
"14T","1094","Dias Úteis"
"14TA","1093","Dias Úteis"
"5203","5203-2-001-A-5-11h30-ArganilCamara","A-5"
"14T","1092","Dias Úteis"
"14T","1089","Dias Úteis"
"5F","4114","Domingos e Feriados"
"5F","4115","Domingos e Feriados"
"5F","4116","Domingos e Feriados"
"5F","4117","Domingos e Feriados"
"5005","5005-2-005-E-U-17h50-MiraEscolas","E-U"
"5F","4118","Domingos e Feriados"
"5F","4119","Domingos e Feriados"
"5320","5320-1-002-FE-MACOR-10h00-LourinhadeBaixo","FE-MACOR"
"38","4130","Domingos e Feriados"
"38FA","4131","Domingos e Feriados"
"7T","4132","Domingos e Feriados"
"7T","4133","Domingos e Feriados"
"7T","4134","Domingos e Feriados"
"7T","4135","Domingos e Feriados"
"5201","5201-2-006-E-U-17h30-CojaPonte","E-U"
"5204","5204-1-001-A-5-09h30-Nogueira","A-5"
"5T","4125","Domingos e Feriados"
"5T","4126","Domingos e Feriados"
"5T","4127","Domingos e Feriados"
"50T","4128","Domingos e Feriados"
"5009","5009-1-001-E-U-07h20-PraiadeMiraExte","E-U"
"50T","4129","Domingos e Feriados"
"5203","5203-2-002-E-U-17h00-ArganilCamara","E-U"
"5052","5052-1-001-A-U-06h45-AncaFarmacia","A-U"
"7T","4140","Domingos e Feriados"
"5064","5064-1-001-E-U-07h30-CorticeirodeCim","E-U"
"7TC","4141","Domingos e Feriados"
"18F","4142","Domingos e Feriados"
"18F","4143","Domingos e Feriados"
"7574","7574-2-002-E-U-17h30-GoisVila","E-U"
"6","4144","Domingos e Feriados"
"6","4145","Domingos e Feriados"
"7244","7244-2-001-A-U-17h00-CoimbraRodoviar","A-U"
"6","4146","Domingos e Feriados"
"7572","7572-2-003-E-U-17h30-GoisEscolas","E-U"
"6","200","Dias Úteis"
"6","201","Dias Úteis"
"6","202","Dias Úteis"
"6","203","Dias Úteis"
"6","204","Dias Úteis"
"6","205","Dias Úteis"
"6","206","Dias Úteis"
"7T","4136","Domingos e Feriados"
"7T","4137","Domingos e Feriados"
"6","207","Dias Úteis"
"6","208","Dias Úteis"
"7T","4138","Domingos e Feriados"
"7T","4139","Domingos e Feriados"
"6","209","Dias Úteis"
"7406","7406-2-007-E-U-17h45-CondeixaaNovaTe","E-U"
"6","4150","Domingos e Feriados"
"6","4151","Domingos e Feriados"
"7447","7447-2-002-E-U-08h25-Lendiosa","E-U"
"6","4152","Domingos e Feriados"
"6","4153","Domingos e Feriados"
"6","4154","Domingos e Feriados"
"6","4155","Domingos e Feriados"
"7509","7509-1-001-E-U-07h10-Arinto","E-U"
"6","4156","Domingos e Feriados"
"6","4157","Domingos e Feriados"
"5514","5514-2-002-E-U-17h05-TentugalEB1","E-U"
"5017","5017-1-002-FE-U-07h10-TochaLargodaFei","FE-U"
"6","210","Dias Úteis"
"6","211","Dias Úteis"
"7241","7241-1-003-E-U-17h25-OliveiradoHospi","E-U"
"6F","212","Dias Úteis"
"7407","7407-2-005-A-U-18h15-CoimbraRodoviar","A-U"
"6F","213","Dias Úteis"
"6F","214","Dias Úteis"
"7465","7465-1-001-A-U-06h30-ArganilCamara","A-U"
"6F","215","Dias Úteis"
"6F","216","Dias Úteis"
"6","4147","Domingos e Feriados"
"6F","217","Dias Úteis"
"6","4148","Domingos e Feriados"
"6F","218","Dias Úteis"
"6F","219","Dias Úteis"
"6","4149","Domingos e Feriados"
"7465","7465-2-009-A-U-19h15-VilaNovadePoiar","A-U"
"6","4161","Domingos e Feriados"
"7401","7401-2-003-A-U-16h15-CondeixaaNovaTe","A-U"
"6","4162","Domingos e Feriados"
"6","4163","Domingos e Feriados"
"7","4164","Domingos e Feriados"
"7","4165","Domingos e Feriados"
"7","4166","Domingos e Feriados"
"7","4167","Domingos e Feriados"
"7","4168","Domingos e Feriados"
"5511","5511-2-002-E-U-13h30-FaiscasEB23","E-U"
"6","4160","Domingos e Feriados"
"6","220","Dias Úteis"
"6","221","Dias Úteis"
"6","222","Dias Úteis"
"6","223","Dias Úteis"
"6","224","Dias Úteis"
"6","225","Dias Úteis"
"6","226","Dias Úteis"
"6","227","Dias Úteis"
"6","228","Dias Úteis"
"6","4158","Domingos e Feriados"
"6","4159","Domingos e Feriados"
"6A","229","Dias Úteis"
"5502","5502-2-005-A-U-19h15-CoimbraPortagem","A-U"
"7","4172","Domingos e Feriados"
"7","4173","Domingos e Feriados"
"7","4174","Domingos e Feriados"
"7","4175","Domingos e Feriados"
"7","4176","Domingos e Feriados"
"7","4177","Domingos e Feriados"
"7","4178","Domingos e Feriados"
"7","4179","Domingos e Feriados"
"5166","5166-1-005-E-U-13h35-TochaLargodaFei","E-U"
"7","4170","Domingos e Feriados"
"6","230","Dias Úteis"
"7","4171","Domingos e Feriados"
"6","231","Dias Úteis"
"6","232","Dias Úteis"
"7557","7557-1-001-V-U-10h00-ParquedeExposic","V-U"
"6","233","Dias Úteis"
"6","234","Dias Úteis"
"6","235","Dias Úteis"
"6","236","Dias Úteis"
"6","237","Dias Úteis"
"6","238","Dias Úteis"
"7406","7406-2-003-A-U-13h40-CondeixaaNovaTe","A-U"
"6","239","Dias Úteis"
"7","4169","Domingos e Feriados"
"7","4183","Domingos e Feriados"
"7","4184","Domingos e Feriados"
"7","4185","Domingos e Feriados"
"5149","5149-1-003-E-U-17h35-MiraEscolas","E-U"
"7","4186","Domingos e Feriados"
"7","4187","Domingos e Feriados"
"7","4188","Domingos e Feriados"
"38","1909","Dias Úteis"
"7","4189","Domingos e Feriados"
"34","1908","Dias Úteis"
"7","4180","Domingos e Feriados"
"6","240","Dias Úteis"
"7","4181","Domingos e Feriados"
"7","4182","Domingos e Feriados"
"6","241","Dias Úteis"
"6","242","Dias Úteis"
"6","243","Dias Úteis"
"6","244","Dias Úteis"
"6","245","Dias Úteis"
"6","246","Dias Úteis"
"6","247","Dias Úteis"
"6","248","Dias Úteis"
"6F","249","Dias Úteis"
"34","1907","Dias Úteis"
"7406","7406-1-007-E-U-13h30-SoureEB23","E-U"
"34T","1906","Dias Úteis"
"34","1905","Dias Úteis"
"34T","1904","Dias Úteis"
"7513","7513-2-004-E-U-17h45-PampilhosadaSer","E-U"
"34","1903","Dias Úteis"
"5133","5133-2-001-E-U-13h40-CantanhedeEstac","E-U"
"34","1902","Dias Úteis"
"34","1901","Dias Úteis"
"34","1900","Dias Úteis"
"7","4194","Domingos e Feriados"
"7","4195","Domingos e Feriados"
"7","4196","Domingos e Feriados"
"7","4197","Domingos e Feriados"
"7","4198","Domingos e Feriados"
"7431","7431-2-006-E-U-14h00-PenacovaEB23S","E-U"
"7442","7442-2-006-A-U-17h30-CoimbraPortagem","A-U"
"7","4199","Domingos e Feriados"
"29","1919","Dias Úteis"
"7","4190","Domingos e Feriados"
"7406","7406-1-004-E-U-07h40-SoureCorreios","E-U"
"6F","250","Dias Úteis"
"7","4191","Domingos e Feriados"
"7","4192","Domingos e Feriados"
"6F","251","Dias Úteis"
"5","252","Dias Úteis"
"7","4193","Domingos e Feriados"
"5","253","Dias Úteis"
