stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
11084,Dianteiro 1,Dianteiro 1,E. M. 536 (Dianteiro - Cemiterio - Paragem 1) - Sent. Vale de Canas,40.2328,-8.3706,,,0,
11085,Dianteiro 2,Dianteiro 2,E. M. 536 (Dianteiro - Paragem 2) «escola» - Sent.Carapinheira,40.2342,-8.3678,,,0,
11086,Dianteiro 2,Dianteiro 2,E. M. 536 (Dianteiro - Paragem 2) «escola»- Sent. Vale de Canas,40.2348,-8.3669,,,0,
11087,Serra da Rocha,Serra da Rocha,C. M. 1145 (Serra da Rocha) - Sent. Rocha Nova,40.2347,-8.3777,,,0,
11088,Serra da Rocha,Serra da Rocha,C. M. 1145 (Serra da Rocha) - Sent. Cova do Ouro,40.2352,-8.378,,,0,
11089,Vale de Fontinha,Vale Fontinha,C. M. 1145 (Vale de Fontinha) - Sent. Rocha Nova,40.2301,-8.3764,,,0,
11090,Vale de Fontinha,Vale Fontinha,C. M. 1145 (Vale de Fontinha) - Sent. Cova do Ouro,40.2299,-8.3762,,,0,
11091,Casal do Lobo (Centro),Casal do Lobo (C),E. M. 536 (Casal do Lobo - Paragem 2 - Centro) - Sent. Vale de Canas,40.2174,-8.3745,,,0,
11092,Casal do Lobo (Centro),Casal do Lobo (C),E. M. 536 (Casal do Lobo - Paragem 2 - Centro) - Sent. Carapinheira,40.2172,-8.3745,,,0,
11093,Casal do Lobo 3,Casal do Lobo 3,E. M. 536 (Casal do Lobo - Paragem 3) - Sent. Vale de Canas,40.2201,-8.3736,,,0,
11094,Casal do Lobo 3,Casal do Lobo 3,E. M. 536 (Casal do Lobo - Paragem 3) - Sent. Carapinheira,40.2193,-8.3742,,,0,
11095,Casal do Lobo 4,Casal do Lobo 4,E. M. 536 (Casal do Lobo - Paragem 4) - Sent. Vale de Canas,40.2242,-8.3758,,,0,
11096,Casal do Lobo 4,Casal do Lobo 4,E. M. 536 (Casal do Lobo - Paragem 4) - Sent. Carapinheira,40.2229,-8.3754,,,0,
11097,Cova do Ouro 1,Cova do Ouro 1,E. M. 536 (Cova do Ouro - Paragem 1) - Sent. Vale de Canas,40.2267,-8.3763,,,0,
11098,Cova do Ouro 1,Cova do Ouro 1,E. M. 536 (Cova do Ouro - Paragem 1) - Sent. Carapinheira,40.2263,-8.3764,,,0,
11099,Mata de Vale de Canas,V. de Canas,E. M. 536 (Vale de Canas - Mata Nacional) - Sent. Carapinheira,40.2103,-8.3795,,,0,
11100,Mata de Vale de Canas,V. de Canas,E. M.536 (Vale de Canas - Mata Nacional) - Sent. Tovim,40.2103,-8.3791,,,0,
11101,Vale de Canas (Norte),V. de Canas (N),E. M.536 (Vale de Canas - Norte) - Sent. Carapinheira,40.2125,-8.3772,,,0,
11102,Vale de Canas (Norte),V. de Canas (N),E. M.536 (Vale de Canas - Norte) - Sent. Tovim,40.2125,-8.3771,,,0,
11103,Casal do Lobo 1,Casal do Lobo 1,E. M. 536 (Casal do Lobo - Paragem 1) - Sent. Carapinheira,40.2148,-8.374,,,0,
11104,Casal do Lobo 1,Casal do Lobo 1,E. M. 536 (Casal do Lobo - Paragem 1) - Sent. Vale de Canas,40.2145,-8.3743,,,0,
11105,Casal da Misarela (Cruzamento),C. Misarela (X),E. N. 110 (Cruz. p/ Vale de Canas) - Sent. Casal da Misarela,40.2001,-8.3705,,,0,
11106,Casal da Misarela (Cruzamento),C. Misarela (X),E. N. 110 (Cruz. p/ Vale de Canas) - Sent. Torres do Mondego,40.2001,-8.3706,,,0,
11107,Torres do Mondego (Centro),T. Mondego (C),E. N. 110-2 (Torres do Mondego - Centro) - Sent. Casal da Misarela,40.1959,-8.3792,,,0,
11108,Torres do Mondego (Norte),T. Mondego (N),E. N. 110 (Torres do Mondego - Norte) - Sent. Casal da Misarela,40.1978,-8.3769,,,0,
11109,Torres do Mondego (Norte),T. Mondego (N),E. N. 110 (Torres do Mondego - Norte) - Sent. Portela,40.1973,-8.3778,,,0,
11110,Golpe (Cruzamento),Golpe (X),E. M. 536 (Cruz. do Golpe) - Sent. Carapinheira,40.2457,-8.3636,,,0,
11111,Golpe (Cruzamento),Golpe (X),C. M. 1146 (Cruz. do Golpe) - Sent. Rocha Velha,40.2459,-8.3639,,,0,
11112,Carapinheira,Carapinheira ,E. M. 536 (Carapinheira da Serra) - Sent. Aveleira,40.2401,-8.3632,,,0,
11113,Carapinheira,Carapinheira ,E. M. 536 (Carapinheira da Serra) - Sent. Vale de Canas,40.2406,-8.3632,,,0,
11114,Dianteiro (Centro),Dianteiro (C),E. M. 536 (Dianteiro - Paragem - Centro) - Sent. Carapinheira,40.2372,-8.3629,,,0,
11115,Dianteiro (Centro),Dianteiro (C),E. M. 536 (Dianteiro - Paragem - Centro) - Sent. Vale de Canas,40.2376,-8.3629,,,0,
11116,Dianteiro 4,Dianteiro 4,E. M. 536 (Dianteiro - Paragem 4) «Centro»- Sent. Carapinheira,40.2358,-8.364,,,0,
11117,Dianteiro 4,Dianteiro 4,E. M. 536 (Dianteiro - Paragem 4) «Centro»- Sent. Vale de Canas,40.2362,-8.3636,,,0,
11118,Carapinheira Norte,Carap. Norte,E. M. 536 (Carapinheira da Serra - Urb. Valbon) - Sent. Aveleira,40.2426,-8.3626,,,0,
11119,Carapinheira Norte,Carap. Norte,E. M. 536 (Carapinheira da Serra - Urb. Valbon) - Sent. Vale de Canas,40.2426,-8.3625,,,0,
11120,Dianteiro 3,Dianteiro 3,E. M. 536 (Dianteiro - Paragem 3) - Sent. Carapinheira,40.2351,-8.3662,,,0,
11121,Dianteiro 3,Dianteiro 3,E. M. 536 (Dianteiro - Paragem 3) - Sent. Vale de Canas,40.2355,-8.3655,,,0,
11122,Casal da Misarela (Centro),C. Misarela (C),E. M. 110 (Casal da Misarela - Centro) - Sent. Penacova,40.2056,-8.3637,,,0,
11123,Casal da Misarela (Centro),C. Misarela (C),E. M. 110 (Casal da Misarela - Centro) - Sent. Coimbra,40.2056,-8.3641,,,0,
11124,Casal da Misarela (Sul),C. Misarela (S),E. M. 110 (Casal da Misarela - Sul) - Sent. Casal da Misarela,40.2029,-8.3673,,,0,
11125,Casal da Misarela (Sul),C. Misarela (S),E. M. 110 (Casal da Misarela - Sul) - Sent. Torres do Mondego,40.2024,-8.3678,,,0,
11126,Casal da Misarela (Norte),C. Misarela (N),E. M. 110 (Casal da Misarela - Norte) - Terminus L. 9,40.2074,-8.3596,,,0,
11127,Rua Combatentes 2,R.Combatentes 2,Rua Combatentes (2)- Vila Pouca - Sent. Taveiro,40.1916,-8.5265,,,0,
11128,Rua Combatentes 2,R.Combatentes 2,Rua Combatentes (2)- Vila Pouca - Sent. Ameal,40.1915,-8.5266,,,0,
11129,Casais (Apeadeiro),Casais -  Apeadeiro ,Rua Central - Apeadeiro dos Casais - Sent. Taveiro,40.2049,-8.4846,,,0,
11130,Casais,Casais,Variante Nova - Casais -Sent. Cemiterio,40.2031,-8.4849,,,0,
11131,Casais (Apeadeiro),Casais -  Apeadeiro ,Rua Central - Apeadeiro dos Casais Sent. Coimbra,40.2049,-8.4845,,,0,
11132,Rua das Paredes 1,R. das Paredes 1,Rua das Paredes 1 - Sent. Eiras,40.2581,-8.3972,,,0,
11133,Rua 25 de Abril,Rua 25 Abril,Rua 25 Abril - Vale da Luz - Sent. Casal da Rosa,40.2526,-8.395,,,0,
11134,Rua Antonio Jardim (1),R. Antonio Jardim (1),Rua Antonio Jardim (1),40.2167,-8.3991,,,0,
11135,Rua Antonio Jardim (2),R. Antonio Jardim (2),Rua Antonio Jardim (2),40.2149,-8.3979,,,0,
11136,Rua Antonio Jardim (3),R. Antonio Jardim (3),Rua Antonio Jardim (3),40.2127,-8.399,,,0,
11137,Rua Antonio Jardim (4),R. Antonio Jardim (4),Rua Antonio Jardim (4),40.2106,-8.3985,,,0,
11138,Joao de Deus Ramos,J.Deus Ramos,Rua Joao de Deus Ramos,40.2037,-8.4043,,,0,
11139,Rua da Mata,Rua da Mata,Rua da Mata - sent. Asc.,40.2119,-8.3773,,,0,
11140,Vale de Canas,Vale de Canas,Rua de S. Bento - cz. trav. Vale do Melo,40.2087,-8.372,,,0,
11141,Rua Eladio Alle Alvarez (1) ,R. Eladio Alle Alvarez,Rua Eladio Alle Alvarez - 1 ,40.2115,-8.3803,,,0,
11142,Rua Eladio Alle Alvarez (1) ,R. Eladio Alle Alvarez,Rua Eladio Alle Alvarez - 2,40.2133,-8.38123,,,0,
11143,Rua Antonio Neves da Costa (1),R. Ant. Neves da Costa,Rua Antonio Neves da Costa - 1,40.2166,-8.3846,,,0,
11144,Rua Antonio Neves da Costa (1),R. Ant. Neves da Costa,Rua Antonio Neves da Costa - 2,40.2157,-8.3862,,,0,
11145,Coselhas (1),Coselhas 1,Estrada de Coselhas,40.222,-8.4263,,,0,
11146,Variante de Eiras (1),Variante Eiras 1,Variante de Eiras 1 - Sent. S. Paulo de Frades,40.2495,-8.4153,,,0,
11147,Oureca,R. da Oureca,Rua da Oureca,40.2513,-8.4161,,,0,
11148,Tojeira,R. Tojeira ,Rua da Tojeira,40.2527,-8.4174,,,0,
11149,Planalto de Santa Clara,Forum - Bombas,Jose Bonifacio A. Silva- Av. (Via do Planalto) - Sent. Centro Saude Sta Clara,40.2097,-8.4447,,,0,
11150,Planalto de Santa Clara,Forum - Bombas,Jose Bonifacio A. Silva- Av. (Via do Planalto) - Sent. Pollo II,40.2097,-8.4441,,,0,
11151,Santa Apolonia Centro,Sta Apolonia,R. Jose Leite de Vasconcelos - Sta Apolonia - Sent. Ponte Eiras,40.2536,-8.4354,,,0,
11152,Largo da Portagem,Largo da Portagem,,40.2073,-8.4293,,,0,
11153,Rua Visconde da Luz,Rua Visconde da Luz,Rua Visconde da Luz - Escadas de S. Tiago,40.2092,-8.4291,,,0,
11154,Rua Jose Alberto dos Reis,Rua Jose Alberto dos Reis,,40.2166,-8.4092,,,0,
11155,Rua o Conimbricence 2,R. Conimbricence 2,R. O Conimbricence 2 - sent. Polo II,40.1829,-8.4071,,,0,
11156,Largo Poco do Mato,Largo Poco do Mato,Largo Poco do Mato - Sent. Carvalhais,40.166,-8.432,,,0,
